order_id,order_date,customer_id,product_id,category,region,sales_channel,customer_segment,quantity,unit_price,discount_pct,revenue,cost,shipping_cost,profit,payment_method
ORD104102,2025-01-01,CUST12013,P374,Fashion,South,Paid Search,New Customer,3,2461.85,0.0,7385.54,2806.51,94.18,4484.86,UPI
ORD101330,2025-01-01,CUST12419,P740,Fashion,Central,Email,Loyal Customer,1,1580.32,0.1,1422.29,600.52,157.01,664.76,COD
ORD105164,2025-01-01,CUST16572,P372,Electronics,North,Paid Search,Returning Customer,1,19875.48,0.05,18881.7,4372.61,172.2,14336.9,UPI
ORD106544,2025-01-01,CUST11747,P672,Fashion,South,Organic Search,New Customer,3,3153.09,0.1,8513.35,3594.53,211.72,4707.11,UPI
ORD101749,2025-01-01,CUST17308,P735,Electronics,South,Email,Returning Customer,2,20694.87,0.1,37250.77,9105.74,179.37,27965.66,UPI
ORD106404,2025-01-01,CUST12164,P648,Electronics,East,Email,Returning Customer,4,21998.21,0.15,74793.93,19358.43,80.5,55355.0,UPI
ORD105341,2025-01-01,CUST18207,P281,Books,South,Organic Search,Loyal Customer,1,626.79,0.0,626.79,188.04,229.83,208.92,UPI
ORD102486,2025-01-01,CUST18973,P107,Fashion,South,Paid Search,New Customer,3,1974.43,0.1,5330.95,2250.85,167.72,2912.39,UPI
ORD106767,2025-01-01,CUST19495,P542,Home & Kitchen,East,Organic Search,Loyal Customer,1,4192.13,0.25,3144.1,1173.8,84.83,1885.47,Debit Card
ORD102623,2025-01-01,CUST18392,P578,Books,South,Organic Search,Returning Customer,2,970.44,0.0,1940.88,582.26,44.1,1314.51,UPI
ORD107711,2025-01-01,CUST12875,P823,Home & Kitchen,North,Referral,New Customer,1,6294.11,0.15,5350.0,1762.35,230.56,3357.08,UPI
ORD101461,2025-01-01,CUST17221,P711,Beauty,North,Paid Search,New Customer,1,1379.71,0.1,1241.74,579.48,191.9,470.36,Credit Card
ORD108355,2025-01-01,CUST16071,P743,Home & Kitchen,North,Paid Search,Returning Customer,1,4513.13,0.0,4513.13,1263.68,139.62,3109.83,Net Banking
ORD109307,2025-01-01,CUST12222,P614,Beauty,East,Social Media,New Customer,1,1414.58,0.1,1273.12,594.12,237.64,441.36,COD
ORD104505,2025-01-01,CUST14047,P109,Home & Kitchen,East,Referral,New Customer,3,4416.77,0.15,11262.77,3710.09,244.19,7308.49,UPI
ORD104513,2025-01-01,CUST10160,P799,Beauty,North,Referral,New Customer,3,1464.77,0.0,4394.31,1845.61,60.49,2488.21,UPI
ORD105964,2025-01-01,CUST17674,P483,Fashion,South,Social Media,New Customer,1,2032.34,0.0,2032.34,772.29,243.0,1017.05,UPI
ORD102147,2025-01-01,CUST10138,P182,Home & Kitchen,North,Organic Search,Loyal Customer,2,4230.03,0.15,7191.05,2368.82,166.68,4655.55,Credit Card
ORD104782,2025-01-01,CUST10730,P592,Fashion,West,Direct,Returning Customer,3,1983.33,0.05,5652.5,2261.0,76.31,3315.19,UPI
ORD105271,2025-01-01,CUST19757,P219,Electronics,East,Social Media,Returning Customer,1,10115.47,0.1,9103.93,2225.4,104.7,6773.82,UPI
ORD107682,2025-01-02,CUST12914,P858,Beauty,East,Social Media,Returning Customer,2,1556.18,0.2,2489.89,1307.19,168.93,1013.77,Credit Card
ORD100234,2025-01-02,CUST15528,P245,Home & Kitchen,South,Organic Search,New Customer,1,7170.4,0.05,6811.88,2007.71,94.28,4709.89,UPI
ORD106541,2025-01-02,CUST16894,P677,Sports,South,Social Media,Returning Customer,2,2637.39,0.2,4219.82,1687.93,79.69,2452.2,Net Banking
ORD108225,2025-01-02,CUST12701,P912,Fashion,South,Social Media,Loyal Customer,2,2314.53,0.15,3934.71,1759.05,190.93,1984.73,Debit Card
ORD109860,2025-01-02,CUST13139,P305,Sports,South,Paid Search,New Customer,1,2187.36,0.2,1749.89,699.95,98.15,951.79,COD
ORD102511,2025-01-02,CUST19009,P961,Books,East,Paid Search,Loyal Customer,1,575.29,0.2,460.23,172.59,40.28,247.36,Debit Card
ORD104709,2025-01-02,CUST12392,P628,Beauty,North,Organic Search,New Customer,1,814.66,0.1,733.19,342.16,152.44,238.6,COD
ORD108697,2025-01-02,CUST16340,P956,Fashion,Central,Email,Loyal Customer,2,2247.3,0.15,3820.42,1707.95,40.45,2072.01,UPI
ORD106577,2025-01-02,CUST19593,P828,Home & Kitchen,East,Organic Search,Returning Customer,1,7956.03,0.2,6364.83,2227.69,248.21,3888.92,Credit Card
ORD103121,2025-01-02,CUST13969,P594,Home & Kitchen,East,Email,New Customer,1,6909.36,0.15,5872.96,1934.62,150.1,3788.24,COD
ORD103271,2025-01-02,CUST14805,P869,Electronics,North,Social Media,Loyal Customer,1,28157.31,0.1,25341.58,6194.61,240.15,18906.81,Debit Card
ORD103249,2025-01-02,CUST19066,P238,Beauty,Central,Paid Search,Returning Customer,1,1418.15,0.15,1205.42,595.62,156.36,453.44,Net Banking
ORD103850,2025-01-02,CUST17390,P980,Fashion,South,Email,New Customer,2,2180.5,0.1,3924.9,1657.18,68.66,2199.06,UPI
